id,label,group,nodesize
Wilson Aires Ortiz,Wilson Aires Ortiz,3,4
Leticia Falcao Starck,Leticia Falcao Starck,16,4
Glaura Goulart Silva,Glaura Goulart Silva,2,4
Graziâni Candiotto,Graziâni Candiotto,2,4
Isabela Dainezi,Isabela Dainezi,16,4
Paula Maria Pincela Lins,Paula Maria Pincela Lins,22,4
Douglas Soares Galvão,Douglas Soares Galvão,12,4
Maria Adrina Paixão de Souza da Silva,Maria Adrina Paixão de Souza da Silva,16,4
Ana Sofia C. M. D'Oliveira,Ana Sofia C. M. D'Oliveira,5,4
Guilherme Boenny Strapasson,Guilherme Boenny Strapasson,2,4
Andréa Claudia Oliveira Silva,Andréa Claudia Oliveira Silva,23,4
Ana Paula Lopes da Silva,Ana Paula Lopes da Silva,23,4
Rodrigo Ferrão de Paiva Martins,Rodrigo Ferrão de Paiva Martins,13,4
José M. E. Matos,José M. E. Matos,17,4
Pedro Henrique Benites Aoki,Pedro Henrique Benites Aoki,22,4
Maykel dos Santos Klem,Maykel dos Santos Klem,1,4
Gabriel Leonardo Nogueira,Gabriel Leonardo Nogueira,1,4
Lucimara Stolz Roman,Lucimara Stolz Roman,1,4
Ricardo Sanson Namur,Ricardo Sanson Namur,16,4
Amanda Pasquoto Perissinotto,Amanda Pasquoto Perissinotto,10,4
Celso Molina,Celso Molina,3,4
Caio Vinicius Lima Natarelli,Caio Vinicius Lima Natarelli,23,4
Florian Steffen Günther,Florian Steffen Günther,7,4
Chantal Damia,Chantal Damia,19,4
Piter Gargarella,Piter Gargarella,16,4
Claudia Merlini,Claudia Merlini,2,4
Nelson Henrique Morgon,Nelson Henrique Morgon,18,4
Maurício Ribeiro Baldan,Maurício Ribeiro Baldan,13,4
Stephani Stamboroski,Stephani Stamboroski,19,4
Sajjad Ullah,Sajjad Ullah,8,4
João Pedro Esteves Araujo,João Pedro Esteves Araujo,18,4
Armandina Maria Lima Lopes,Armandina Maria Lima Lopes,18,4
Mariana Gava Segatelli,Mariana Gava Segatelli,8,4
Daiane Damasceno Borges,Daiane Damasceno Borges,1,4
Andrea Vasconcelos Ferraz,Andrea Vasconcelos Ferraz,2,4
Celso Valentim Santilli,Celso Valentim Santilli,10,4
Sergio Ricardo de Lazaro,Sergio Ricardo de Lazaro,18,4
Fanny Béron,Fanny Béron,3,4
Carlos Eduardo Bezerra de Moura,Carlos Eduardo Bezerra de Moura,2,4
Walter José Botta Filho,Walter José Botta Filho,1,4
Clodomiro Alves Junior,Clodomiro Alves Junior,2,4
Jussier de Oliveira Vitoriano,Jussier de Oliveira Vitoriano,2,4
Carlos César Bof Bufon,Carlos César Bof Bufon,1,4
Leandro Merces,Leandro Merces,1,4
Anerise de Barros,Anerise de Barros,1,4
Eric CHAMPION,Eric CHAMPION,2,4
Aline Capella de Oliveira,Aline Capella de Oliveira,16,4
Neide Aparecida Mariano,Neide Aparecida Mariano,16,4
José Artigas dos Santos Laranjeira,José Artigas dos Santos Laranjeira,18,4
Mateus Ferrer,Mateus Ferrer,18,4
Spyridion Haritos Borges,Spyridion Haritos Borges,16,4
Eliria Maria de Jesus Agnolon Pallone,Eliria Maria de Jesus Agnolon Pallone,1,4
Andrey Coatrini Soares,Andrey Coatrini Soares,7,4
Julia Delatorre Bronzato,Julia Delatorre Bronzato,4,4
Edson C.  Silva Filho,Edson C.  Silva Filho,13,4
Newton Martins Barbosa Neto,Newton Martins Barbosa Neto,7,4
Sergio Antonio Marques Lima,Sergio Antonio Marques Lima,1,4
Flavio Garcia,Flavio Garcia,7,4
Moysés Leite de Lima,Moysés Leite de Lima,16,4
Marco Roberto Cavallari,Marco Roberto Cavallari,2,4
Daniel Souza Corrêa,Daniel Souza Corrêa,7,4
Ana Maria Pires,Ana Maria Pires,1,4
Fernando Josepetti Fonseca,Fernando Josepetti Fonseca,2,4
Petrus Santa-Cruz,Petrus Santa-Cruz,1,4
Mário Boccalini Jr.,Mário Boccalini Jr.,16,4
José Enrique Eirez Izquierdo,José Enrique Eirez Izquierdo,2,4
Dachamir Hotza,Dachamir Hotza,15,4
Anna Gabriella Tempesta,Anna Gabriella Tempesta,7,4
Rodrigo Szostak,Rodrigo Szostak,2,4
Marcel Guimarães Martins,Marcel Guimarães Martins,13,4
Luis Henrique da Silveira Lacerda,Luis Henrique da Silveira Lacerda,1,4
Fabio Furlan Ferreira,Fabio Furlan Ferreira,1,4
Diego Rafael Nespeque Correa,Diego Rafael Nespeque Correa,19,4
Paulo Trindade Araujo,Paulo Trindade Araujo,7,4
Gabriel de Moura Martins,Gabriel de Moura Martins,2,3
Ivan de Paula Miranda,Ivan de Paula Miranda,3,3
Luis Paulo Mourão dos Santos,Luis Paulo Mourão dos Santos,13,3
Filipe Silva,Filipe Silva,4,3
Carla Marina Santos Feldhaus,Carla Marina Santos Feldhaus,13,3
Elisangela Elena Nunes Carvalho,Elisangela Elena Nunes Carvalho,23,3
Mathilde Champeau,Mathilde Champeau,23,3
Óscar Carvalho,Óscar Carvalho,4,3
Vagner Roberto Botaro,Vagner Roberto Botaro,24,3
Cristie Luis Kugelmeier,Cristie Luis Kugelmeier,16,3
Caroline Teixeira Lopes,Caroline Teixeira Lopes,3,3
Ana Paula de Azevedo Marques,Ana Paula de Azevedo Marques,13,3
Gelson Tiago dos Santos Tavares Silva,Gelson Tiago dos Santos Tavares Silva,13,3
Monica Alonso Cotta,Monica Alonso Cotta,2,3
Rafael Zadorosny,Rafael Zadorosny,3,3
Igor Frota Vasconcelos,Igor Frota Vasconcelos,13,3
WILLY ANK DE MORAIS,WILLY ANK DE MORAIS,16,3
Antonio Jorge Abdalla,Antonio Jorge Abdalla,4,3
Joan OConnor,Joan OConnor,2,3
Cilene Labre,Cilene Labre,3,3
Odivaldo Cambraia Alves,Odivaldo Cambraia Alves,3,3
LUANA  Wouk,LUANA  Wouk,3,3
Milena do Prado Ferreira,Milena do Prado Ferreira,3,3
Maycon Motta,Maycon Motta,3,3
Alejandro V. Silhanek,Alejandro V. Silhanek,3,3
Helio Cesar Nogueira Tolentino,Helio Cesar Nogueira Tolentino,3,3
Rosana Alves Gonçalves,Rosana Alves Gonçalves,13,3
Edson Laureto,Edson Laureto,3,3
Leonnam Gotardo Merizio,Leonnam Gotardo Merizio,3,3
Alexandre Mello,Alexandre Mello,3,3
Olivia Maria Berengue,Olivia Maria Berengue,13,3
Angela Burlamaqui Klautau,Angela Burlamaqui Klautau,3,3
Ana Paula Ramos,Ana Paula Ramos,2,3
Andris Figueiroa Bakuzis,Andris Figueiroa Bakuzis,3,3
Claudio S. Kiminami,Claudio S. Kiminami,16,3
Moataz Attallah,Moataz Attallah,16,3
Anders Bergman,Anders Bergman,3,3
Stano Imbrogno,Stano Imbrogno,16,3
Pamela Karina dos Santos Bomfim,Pamela Karina dos Santos Bomfim,16,3
Rita Branquinho,Rita Branquinho,13,3
Pietro Ciancaglini,Pietro Ciancaglini,2,3
